<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;240805;150000;127.85;128.12;127;127.27;6124700
GAZP;60;240805;160000;127.27;128.22;127.21;127.89;4820220
GAZP;60;240805;170000;127.9;128.22;127.52;128.01;2250420
GAZP;60;240805;180000;128;128.36;127.68;127.85;2328680
GAZP;60;240805;190000;127.85;128.34;127.7;128.09;1297100
GAZP;60;240805;200000;128.09;128.27;127.75;128.13;834280
GAZP;60;240805;210000;128.13;128.13;127.25;127.25;1497810
GAZP;60;240805;220000;127.29;127.75;127.2;127.59;960670
GAZP;60;240805;230000;127.59;127.65;127.25;127.25;806020
GAZP;60;240806;100000;128.39;129.49;128.23;129.47;8751020
GAZP;60;240806;110000;129.47;129.6;128.52;128.52;4051990
GAZP;60;240806;120000;128.53;129.2;128.4;128.84;2574300
GAZP;60;240806;130000;128.84;129.4;128.67;129.08;2084390
GAZP;60;240806;140000;129.08;129.47;128.76;128.85;2301500
GAZP;60;240806;150000;128.83;128.98;127.8;127.95;4264840
GAZP;60;240806;160000;127.94;128.22;127.34;127.84;4318040
GAZP;60;240806;170000;127.83;128.5;127.75;128.11;3389860
GAZP;60;240806;180000;128.1;128.62;128;128.41;2521310
GAZP;60;240806;190000;128.5;128.83;128.46;128.57;769330
GAZP;60;240806;200000;128.57;128.65;128.5;128.63;208220
GAZP;60;240806;210000;128.62;129.06;128.53;129;962290
GAZP;60;240806;220000;129;129.01;128.57;128.7;488310
GAZP;60;240806;230000;128.69;128.81;128.6;128.7;400300
GAZP;60;240807;100000;128.88;129.4;128.3;128.63;5753360
GAZP;60;240807;110000;128.64;128.64;126.6;127.27;9984020
GAZP;60;240807;120000;127.26;127.75;126.18;127.6;8523070
GAZP;60;240807;130000;127.6;128.12;127.02;127.21;5008380
GAZP;60;240807;140000;127.2;127.96;127.17;127.86;2348290
GAZP;60;240807;150000;127.88;128.56;127.67;128.09;5868420
GAZP;60;240807;160000;128.1;128.49;127.8;128.04;3473410
GAZP;60;240807;170000;128.04;130.33;128.04;130.06;9196680
GAZP;60;240807;180000;130.07;130.33;129.56;130.07;4830850
GAZP;60;240807;190000;130;130.34;129.61;129.78;1774250
GAZP;60;240807;200000;129.78;129.78;129.18;129.62;1878910
GAZP;60;240807;210000;129.62;129.67;129.29;129.38;1018480
GAZP;60;240807;220000;129.39;129.89;129.35;129.55;1181810
GAZP;60;240807;230000;129.55;129.96;129.48;129.84;894160
GAZP;60;240808;100000;130.02;130.88;129.36;130.27;7921850
GAZP;60;240808;110000;130.27;130.7;129.8;130.22;2908740
GAZP;60;240808;120000;130.22;130.91;129.87;130.16;2522740
GAZP;60;240808;130000;130.13;130.35;129.2;129.79;3309190
GAZP;60;240808;140000;129.77;129.85;128.8;129.67;3696490
GAZP;60;240808;150000;129.66;129.71;129.03;129.31;1568050
GAZP;60;240808;160000;129.31;129.37;128.85;129.15;2103630
GAZP;60;240808;170000;129.15;129.3;128.4;129.12;3692390
GAZP;60;240808;180000;129.09;129.2;128.04;128.38;3356310
GAZP;60;240808;190000;128.23;128.58;127.83;128.02;2743540
GAZP;60;240808;200000;128.02;128.4;127.36;127.87;3018560
GAZP;60;240808;210000;127.83;128.39;127.8;128.35;1537610
GAZP;60;240808;220000;128.34;128.34;127.77;127.78;486090
GAZP;60;240808;230000;127.78;128.22;127.72;128.14;372730
GAZP;60;240809;100000;128.03;129.1;127.27;128.94;6851430
GAZP;60;240809;110000;128.95;129.25;128.7;128.95;2859480
GAZP;60;240809;120000;128.94;129.09;128.01;128.52;2235520
GAZP;60;240809;130000;128.52;129;128.4;128.62;2176350
GAZP;60;240809;140000;128.62;129.2;128.45;129.17;2028610
GAZP;60;240809;150000;129.15;129.76;128.93;129.55;3946700
GAZP;60;240809;160000;129.57;129.6;128.56;128.89;2682120
GAZP;60;240809;170000;128.87;128.88;128.22;128.73;1195680
GAZP;60;240809;180000;128.73;129.2;128.47;129.09;1304190
GAZP;60;240809;190000;129.09;129.09;128.73;128.8;930680
GAZP;60;240809;200000;128.77;128.84;128.63;128.81;467980
GAZP;60;240809;210000;128.81;128.93;128.5;128.56;713270
GAZP;60;240809;220000;128.55;128.86;128.5;128.76;843130
GAZP;60;240809;230000;128.76;128.81;128.47;128.64;1152690
GAZP;60;240812;100000;128.38;128.61;127.45;127.9;5308300
GAZP;60;240812;110000;127.89;128.34;127.3;127.43;3482570
GAZP;60;240812;120000;127.43;127.75;127.11;127.58;2300730
GAZP;60;240812;130000;127.56;128.39;127.5;127.96;1794710
GAZP;60;240812;140000;127.98;128.3;127.82;128.24;1406050
GAZP;60;240812;150000;128.23;129.35;128.23;128.78;3978470
GAZP;60;240812;160000;128.77;128.88;128.22;128.31;2113060
GAZP;60;240812;170000;128.31;128.6;128.04;128.41;1402390
GAZP;60;240812;180000;128.41;128.84;128.22;128.22;772020
GAZP;60;240812;190000;128.23;128.49;128.2;128.23;847850
GAZP;60;240812;200000;128.25;128.49;128.22;128.39;712490
GAZP;60;240812;210000;128.39;128.58;128.35;128.41;354730
GAZP;60;240812;220000;128.41;128.7;128.35;128.61;370490
GAZP;60;240812;230000;128.6;129.18;128.5;128.71;956970
GAZP;60;240813;100000;128.79;130.8;128.79;129.65;4762160
GAZP;60;240813;110000;129.65;129.7;129.07;129.57;1984350
GAZP;60;240813;120000;129.58;130;129.41;129.86;2823390
GAZP;60;240813;130000;129.85;130.4;129.53;130.19;3500010
GAZP;60;240813;140000;130.15;130.2;129.56;129.99;1290860
GAZP;60;240813;150000;130;130.25;129.85;130.24;1612900
GAZP;60;240813;160000;130.24;130.39;129.83;130.34;2070750
GAZP;60;240813;170000;130.33;130.65;129.83;130.02;2545900
GAZP;60;240813;180000;130.02;130.1;129.7;130.03;1110300
GAZP;60;240813;190000;129.82;129.98;129.75;129.83;264090
GAZP;60;240813;200000;129.83;130.02;129.81;130.02;295150
GAZP;60;240813;210000;130;130.2;129.95;129.97;456670
GAZP;60;240813;220000;130;130.18;129.9;130.12;274220
GAZP;60;240813;230000;130.18;130.58;130.1;130.49;820350
GAZP;60;240814;100000;130.8;131.49;130.59;131.02;5971850
GAZP;60;240814;110000;131.01;131.39;130.84;131.11;1492030
GAZP;60;240814;120000;131.1;131.38;130.87;131.23;1299100
GAZP;60;240814;130000;131.22;131.3;130.59;130.89;2530820
GAZP;60;240814;140000;130.89;131;130.51;130.6;1823250
GAZP;60;240814;150000;130.61;130.81;130.47;130.63;1039250
GAZP;60;240814;160000;130.64;130.71;130.49;130.5;77400
GAZP;60;240814;170000;130.5;130.6;129.8;130.14;2512930
GAZP;60;240814;180000;130.14;130.36;129.92;129.99;1947060
GAZP;60;240814;190000;129.99;130;129.61;129.79;1020930
GAZP;60;240814;200000;129.8;129.93;129.67;129.7;386390
GAZP;60;240814;210000;129.7;129.84;129.66;129.7;497660
GAZP;60;240814;220000;129.7;129.77;129.51;129.59;597130
GAZP;60;240814;230000;129.58;129.86;129.58;129.84;471960
GAZP;60;240815;100000;129.98;130.31;129.25;129.46;2946520
GAZP;60;240815;110000;129.39;129.44;128.52;128.8;3731320
GAZP;60;240815;120000;128.8;129.65;128.77;129.38;1781040
GAZP;60;240815;130000;129.35;129.71;128.81;128.94;1204210
GAZP;60;240815;140000;128.93;129.03;128.22;128.64;1771260
GAZP;60;240815;150000;128.65;128.69;127.85;127.94;2409460
GAZP;60;240815;160000;127.93;128.39;127.55;128.06;4328680
GAZP;60;240815;170000;128.06;128.24;127.14;127.23;2893390
GAZP;60;240815;180000;127.22;127.63;127.01;127.63;2276480
GAZP;60;240815;190000;127.44;127.7;127.32;127.68;769600
GAZP;60;240815;200000;127.69;127.86;127.41;127.51;481600
GAZP;60;240815;210000;127.51;127.68;127.43;127.53;256480
GAZP;60;240815;220000;127.53;127.59;127.24;127.26;508600
GAZP;60;240815;230000;127.27;127.6;127.24;127.6;335090
GAZP;60;240816;100000;127.61;128.24;127.3;127.58;3564610
GAZP;60;240816;110000;127.63;127.82;127.19;127.37;1254020
GAZP;60;240816;120000;127.38;127.71;127.25;127.39;1602980
GAZP;60;240816;130000;127.38;127.39;126.69;127.11;3684750
GAZP;60;240816;140000;127.15;127.69;127;127.19;1372190
GAZP;60;240816;150000;127.21;127.6;127.06;127.46;964030
GAZP;60;240816;160000;127.47;128.24;127.47;128.01;3144270
GAZP;60;240816;170000;128.01;128.1;127.55;127.71;1399550
GAZP;60;240816;180000;127.7;127.71;126.6;126.6;2961560
GAZP;60;240816;190000;126.69;126.91;126.55;126.7;1434740
GAZP;60;240816;200000;126.7;126.85;126.31;126.33;1594290
GAZP;60;240816;210000;126.32;126.32;125.68;125.75;3480940
GAZP;60;240816;220000;125.74;126.1;125.26;125.77;2387090
GAZP;60;240816;230000;125.73;127.05;125.71;126.36;1585600
GAZP;60;240819;100000;126.42;127.38;125.85;126.93;6714880
GAZP;60;240819;110000;126.93;127.69;126.42;126.71;3556130
GAZP;60;240819;120000;126.73;126.85;126.08;126.28;2106850
GAZP;60;240819;130000;126.29;126.48;125.51;126.08;4133960
GAZP;60;240819;140000;126.05;126.46;125.28;125.66;1951140
GAZP;60;240819;150000;125.68;126.1;125.36;125.64;1492060
GAZP;60;240819;160000;125.64;126.5;125.21;126.5;2855580
GAZP;60;240819;170000;126.48;127.07;126.11;126.92;3075260
GAZP;60;240819;180000;126.89;126.89;125.75;125.75;1540520
GAZP;60;240819;190000;125.73;126.16;125.52;126.14;1350230
GAZP;60;240819;200000;126.14;126.17;125.7;126;451690
GAZP;60;240819;210000;125.99;126.23;125.92;126.17;279070
GAZP;60;240819;220000;126.16;126.28;126;126.01;441570
GAZP;60;240819;230000;126;126.3;126;126.29;501090
GAZP;60;240820;100000;126.29;126.8;125.9;126.18;3393650
GAZP;60;240820;110000;126.18;126.7;125.82;126.69;2682680
GAZP;60;240820;120000;126.69;127.64;126.35;127.37;4283390
GAZP;60;240820;130000;127.37;127.57;126.7;127.24;2631720
GAZP;60;240820;140000;127.24;127.47;126.7;127.04;1910710
GAZP;60;240820;150000;127.04;127.11;126;126.01;3632580
GAZP;60;240820;160000;126;126.49;125.64;126.2;2313070
GAZP;60;240820;170000;126.2;126.36;125.62;125.78;1982840
GAZP;60;240820;180000;125.77;125.89;125.34;125.5;1881210
GAZP;60;240820;190000;125.52;125.86;125.52;125.54;807970
GAZP;60;240820;200000;125.56;125.94;125.5;125.84;717550
GAZP;60;240820;210000;125.84;125.9;125.44;125.48;500540
GAZP;60;240820;220000;125.51;126.05;125.33;125.86;941720
GAZP;60;240820;230000;125.86;126.1;125.71;125.85;484380
GAZP;60;240821;100000;125.5;126.4;125.5;125.8;2337310
GAZP;60;240821;110000;125.8;125.81;123.88;124.04;8996340
GAZP;60;240821;120000;124.01;124.71;123.95;124.44;3809800
GAZP;60;240821;130000;124.44;124.45;123.53;124.07;2855990
GAZP;60;240821;140000;124.04;124.45;123.4;123.85;3521680
GAZP;60;240821;150000;123.84;124.31;123.73;123.8;1992800
GAZP;60;240821;160000;123.81;124.34;123.52;123.99;2926590
GAZP;60;240821;170000;124;124.49;123.76;123.93;3607250
GAZP;60;240821;180000;123.93;123.99;123.6;123.66;1253160
GAZP;60;240821;190000;123.86;124;123.21;123.44;1614700
GAZP;60;240821;200000;123.43;123.49;123.03;123.34;1363060
GAZP;60;240821;210000;123.34;123.49;123.07;123.18;694310
GAZP;60;240821;220000;123.18;123.51;123.11;123.43;398860
GAZP;60;240821;230000;123.42;123.59;123.2;123.38;560160
GAZP;60;240822;100000;123.4;123.76;122.6;123.37;3448580
GAZP;60;240822;110000;123.37;123.97;123.21;123.41;2656970
GAZP;60;240822;120000;123.41;123.57;123.08;123.43;1465800
GAZP;60;240822;130000;123.43;123.7;123.11;123.21;1181770
GAZP;60;240822;140000;123.2;123.4;122.22;122.26;3692330
GAZP;60;240822;150000;122.27;122.5;121.32;121.42;3501850
GAZP;60;240822;160000;121.41;121.53;119.67;120.24;11597700
GAZP;60;240822;170000;120.21;120.5;119.24;119.66;7810970
GAZP;60;240822;180000;119.66;119.66;118.41;119;7111390
GAZP;60;240822;190000;119;119.28;117.84;118.97;7835730
GAZP;60;240822;200000;118.97;119.28;118.5;118.97;2357540
GAZP;60;240822;210000;118.97;119;118.27;118.29;1200360
GAZP;60;240822;220000;118.29;119.35;118.24;119.26;1303020
GAZP;60;240822;230000;119.26;119.33;118.3;118.51;975340
GAZP;60;240823;100000;118.2;119.24;116.06;117.32;15328840
GAZP;60;240823;110000;117.32;117.5;116.41;116.9;5250830
GAZP;60;240823;120000;116.9;118.18;116.88;117.36;4227510
GAZP;60;240823;130000;117.36;117.46;116.64;116.87;2431010
GAZP;60;240823;140000;116.81;117.17;115.7;116.07;4955920
GAZP;60;240823;150000;116.07;116.88;115.81;116.84;6277740
GAZP;60;240823;160000;116.84;117.34;116.39;117.29;3490470
GAZP;60;240823;170000;117.3;117.34;115.94;116.14;4102970
GAZP;60;240823;180000;116.14;116.5;115;116.26;6596780
GAZP;60;240823;190000;116.25;116.3;115.42;116.3;1724970
GAZP;60;240823;200000;116.3;116.74;116.21;116.31;1154300
GAZP;60;240823;210000;116.31;116.6;116.05;116.53;1076210
GAZP;60;240823;220000;116.52;117.16;116.52;116.92;2571080
GAZP;60;240823;230000;116.92;117.21;116.69;116.81;1398230
GAZP;60;240826;100000;119.5;122.26;119.49;122.25;23466090
GAZP;60;240826;110000;122.25;122.7;121.5;122.55;11626540
GAZP;60;240826;120000;122.55;123.1;122.14;122.85;7911300
GAZP;60;240826;130000;122.86;123.46;122.8;122.84;8500230
GAZP;60;240826;140000;122.93;125.35;122.8;124.64;10519320
GAZP;60;240826;150000;124.64;125.75;124.15;125.14;8997790
GAZP;60;240826;160000;125.14;128.01;125.13;126.12;21926560
GAZP;60;240826;170000;126.12;126.88;125.33;125.52;12243130
GAZP;60;240826;180000;125.51;125.59;124.5;124.61;6825150
GAZP;60;240826;190000;124.79;126.3;124.63;126.1;4012550
GAZP;60;240826;200000;126.1;126.56;125.61;125.85;3232890
GAZP;60;240826;210000;125.85;125.89;125.5;125.5;1346240
GAZP;60;240826;220000;125.51;126.25;125.5;126.12;1068900
GAZP;60;240826;230000;126.11;126.8;126.07;126.8;1440690
GAZP;60;240827;100000;127.3;127.98;125.53;126.3;14620410
GAZP;60;240827;110000;126.3;126.44;125.6;125.81;2921240
