<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;240408;000000;164.03;164.9;163.57;163.89;16445250
GAZP;D;240409;000000;164;165.79;163.49;164.08;29054750
GAZP;D;240410;000000;164.14;165.94;163.59;164.74;23208780
GAZP;D;240411;000000;164.97;166.33;164.15;166.24;30774040
GAZP;D;240412;000000;166.52;166.8;164.69;164.83;26202270
GAZP;D;240415;000000;165;165.66;163.27;163.33;21562710
GAZP;D;240416;000000;163.39;164.78;162.65;164.38;19254140
GAZP;D;240417;000000;164.58;165.68;163.78;164.62;20063060
GAZP;D;240418;000000;164.74;166.1;163.85;165.4;17621040
GAZP;D;240419;000000;165.53;168.15;165;167.03;36205320
GAZP;D;240422;000000;167.27;167.89;165.55;166.77;26923930
GAZP;D;240423;000000;166.59;167.43;162.62;163.7;34959300
GAZP;D;240424;000000;163.7;164.41;162.62;162.86;20797970
GAZP;D;240425;000000;162.99;164.2;162.67;163.35;14574730
GAZP;D;240426;000000;163.45;164.19;162.11;162.46;23101170
GAZP;D;240427;000000;162.6;166.49;161.7;164.06;31250400
GAZP;D;240429;000000;164.1;165.24;163.83;164.03;7800610
GAZP;D;240430;000000;164.35;164.55;163.22;163.22;7166760
GAZP;D;240502;000000;163.29;165.36;156.38;157.75;117380380
GAZP;D;240503;000000;157.43;157.74;154;155.2;66221110
GAZP;D;240506;000000;155.32;155.76;153;153.64;26977110
GAZP;D;240507;000000;154;154.96;153.5;154.16;16549540
GAZP;D;240508;000000;154.22;154.75;154.16;154.22;9615650
GAZP;D;240510;000000;154.24;154.89;154.24;154.58;4938150
GAZP;D;240513;000000;155.19;158.65;154.91;157.9;36367940
GAZP;D;240514;000000;157.98;158.4;155.82;156.16;18636890
GAZP;D;240515;000000;156.37;157.29;154.91;156.97;27230820
GAZP;D;240516;000000;157;158.1;156.67;157.88;24775560
GAZP;D;240517;000000;158.3;158.3;154.75;155.17;40679710
GAZP;D;240520;000000;155.4;155.69;145.01;145.03;138793230
GAZP;D;240521;000000;144.24;145.68;137.35;139.54;177093860
GAZP;D;240522;000000;139.8;142.2;138.67;139.25;54098250
GAZP;D;240523;000000;139.07;139.07;133.17;134.69;110661490
GAZP;D;240524;000000;134.95;136.45;133;133.34;58717990
GAZP;D;240527;000000;134.2;134.69;127.56;128.42;89193240
GAZP;D;240528;000000;128.77;131.75;126.82;128.47;63443960
GAZP;D;240529;000000;129;129.82;127.12;128.89;45011470
GAZP;D;240530;000000;129.5;129.53;123.26;124.93;45247030
GAZP;D;240531;000000;125.1;127.92;123.81;126.46;74986990
GAZP;D;240603;000000;126.67;128.61;122.09;124.14;70452330
GAZP;D;240604;000000;124.3;125.16;122.75;125.1;34739690
GAZP;D;240605;000000;125.72;126.5;123.63;124.02;37174310
GAZP;D;240606;000000;124.1;124.94;123.38;123.6;20658080
GAZP;D;240607;000000;123.8;125.82;122.16;122.78;47531080
GAZP;D;240610;000000;123.08;123.64;117.54;119;85156160
GAZP;D;240611;000000;119.15;119.34;116.33;117.53;62417250
GAZP;D;240613;000000;113;119.93;112.07;119.63;69585070
GAZP;D;240614;000000;119.95;122.01;118.89;121.65;49949590
GAZP;D;240617;000000;122.34;122.68;120.79;121.54;28829870
GAZP;D;240618;000000;121.54;122.04;117.18;118.02;40909060
GAZP;D;240619;000000;118.05;118.5;112.54;113.85;74681030
GAZP;D;240620;000000;114.14;116.39;110;115.92;176275570
GAZP;D;240621;000000;116.04;117.25;114.14;115.4;45925320
GAZP;D;240624;000000;115.39;116.35;113.2;113.67;27304980
GAZP;D;240625;000000;114;115.09;112.46;114.97;32077620
GAZP;D;240626;000000;115.05;117.25;114.65;117;39669450
GAZP;D;240627;000000;117.05;118.37;115.4;115.65;30906770
GAZP;D;240628;000000;116.33;116.65;114.88;115.94;23809940
GAZP;D;240701;000000;116.05;121.82;116;121.4;59969450
GAZP;D;240702;000000;121.4;127.25;120.76;126.2;130001830
GAZP;D;240703;000000;126.25;129.45;124.14;124.96;165261050
GAZP;D;240704;000000;125.01;126.8;121.7;122.17;80851800
GAZP;D;240705;000000;122.03;127;121.2;126.74;124560730
GAZP;D;240708;000000;127.5;128.84;125.25;127.74;89515150
GAZP;D;240709;000000;127.99;128.97;123.15;124.05;90375230
GAZP;D;240710;000000;124;125;117.75;117.81;99601990
GAZP;D;240711;000000;117.61;122.7;117.6;121.75;72079520
GAZP;D;240712;000000;121.9;122.47;118.23;119.65;48194040
GAZP;D;240715;000000;120;120.99;118.52;119.28;40496850
GAZP;D;240716;000000;119.28;126.01;118.61;124.74;93643180
GAZP;D;240717;000000;125.12;126.83;123.21;124.46;67220680
GAZP;D;240718;000000;124.46;129.85;123.38;129.81;89766080
GAZP;D;240719;000000;130.12;132.47;128.79;130.88;92815970
GAZP;D;240722;000000;131.95;132.81;130.28;131.61;53044470
GAZP;D;240723;000000;131.7;135;129.57;134.07;69150170
GAZP;D;240724;000000;134.09;137.28;133.42;136.73;64045270
GAZP;D;240725;000000;136.75;137.14;134.87;135.1;40983920
GAZP;D;240726;000000;135.1;136.68;132.59;135;82109580
GAZP;D;240729;000000;134.49;134.77;130.12;130.99;64573400
GAZP;D;240730;000000;130.8;134.07;130.46;132.4;53190140
GAZP;D;240731;000000;132.35;134.49;132.01;133.31;48325370
GAZP;D;240801;000000;133.48;134.35;131.51;132.05;29581130
GAZP;D;240802;000000;132.05;132.6;129.66;131.45;40694220
GAZP;D;240805;000000;129.06;130.54;127;127.25;59457200
GAZP;D;240806;000000;128.39;129.6;127.34;128.7;37085700
GAZP;D;240807;000000;128.88;130.34;126.18;129.84;61734090
GAZP;D;240808;000000;130.02;130.91;127.36;128.14;39237920
GAZP;D;240809;000000;128.03;129.76;127.27;128.64;29387830
GAZP;D;240812;000000;128.38;129.35;127.11;128.71;25800830
GAZP;D;240813;000000;128.79;130.8;128.79;130.49;23811100
GAZP;D;240814;000000;130.8;131.49;129.51;129.84;21667760
GAZP;D;240815;000000;129.98;130.31;127.01;127.6;25693730
GAZP;D;240816;000000;127.61;128.24;125.26;126.36;30430620
GAZP;D;240819;000000;126.42;127.69;125.21;126.29;30450030
GAZP;D;240820;000000;126.29;127.64;125.33;125.85;28164010
GAZP;D;240821;000000;125.5;126.4;123.03;123.38;35932010
GAZP;D;240822;000000;123.4;123.97;117.84;118.51;56139350
GAZP;D;240823;000000;118.2;119.24;115;116.81;60586860
GAZP;D;240826;000000;119.5;128.01;119.49;126.8;123117380
GAZP;D;240827;000000;127.3;127.98;122.52;124.47;92498810
GAZP;D;240828;000000;124.34;125.67;121;124.51;71144630
